Transcript Sense_junction_reads Antisense_junction_reads
BL21614_evm0 1 0
BL21625_cuf3 1 0
BL21667_cuf0 1 0
BL21698_cuf2 1 0
BL21729_cuf2 1 0
BL21747_cuf0 2 0
BL21783_evm1 1 0
BL21866_cuf0 2 0
BL21881_evm0 2 0
BL21967_cuf12 1 0
BL22012_evm0 1 0
BL22075_cuf0 2 0
BL22078_cuf0 1 0
BL22147_evm1 5 0
BL22205_cuf0 1 0
BL22212_cuf0 2 0
BL22304_evm0 1 0
BL22366_cuf1 1 0
BL22389_cuf0 1 0
BL22394_evm0 1 0
BL22408_cuf1 1 0
BL22429_cuf4 1 0
BL22440_evm0 1 0
BL22453_cuf0 1 0
BL22520_cuf8 4 0
BL22578_cuf0 1 0
BL22602_evm0 1 0
BL22643_cuf11 1 0
BL22683_cuf2 3 0
BL22723_cuf2 1 0
BL22735_evm0 2 0
BL22769_evm4 1 0
BL22897_evm0 1 0
BL22941_cuf0 2 0
BL22944_cuf1 2 0
BL22957_cuf1 1 0
BL22989_cuf9 0 1
BL22999_cuf0 1 0
BL23038_cuf2 1 0
BL23057_cuf4 1 0
BL23073_evm0 1 0
BL23091_cuf1 1 0
BL23104_cuf4 1 0
BL23122_cuf7 1 0
BL23164_evm3 1 0
BL23196_cuf1 15 0
BL23205_evm0 1 0
BL23224_evm1 1 0
BL23231_cuf0 1 0
BL23250_cuf4 1 0
BL23255_cuf4 1 0
BL23305_cuf1 1 0
BL23311_cuf0 1 0
BL23388_cuf7 1 0
BL23468_cuf0 1 0
BL23502_evm0 1 0
BL23590_cuf1 2 0
BL23596_cuf0 1 0
BL23634_cuf0 1 0
BL23877_cuf3 1 0
BL23884_cuf1 2 0
BL23908_evm0 8 0
BL23992_cuf0 1 0
BL24032_evm0 1 0
BL24087_cuf3 1 0
BL24096_evm3 1 0
BL24150_cuf0 1 0
BL24317_cuf1 1 0
BL24400_cuf0 1 0
BL24436_cuf0 1 0
BL24452_evm0 2 0
BL24489_cuf1 1 0
BL24560_cuf0 2 0
BL24653_cuf0 1 0
BL24731_cuf0 2 0
BL24884_cuf2 1 0
BL24956_evm0 1 0
BL25233_evm0 6 0
BL25261_evm0 1 0
BL25386_evm3 1 0
BL25590_evm0 2 0
BL25795_evm0 0 1
BL25858_evm0 1 0
BL25954_evm0 1 0
BL26010_evm0 2 0
BL26029_evm0 1 0
BL26222_evm0 1 0
BL26266_evm0 1 0
BL26599_evm0 8 0
BL26671_evm0 1 0
BL26856_evm0 4 0
BL26924_evm0 6 0
BL27116_evm0 2 0
BL27226_evm0 0 1
BL27333_evm0 0 3
BL27435_evm0 1 0
BL27522_evm0 32 0
BL27640_evm0 1 0
BL27642_evm0 1 0
BL27817_evm0 1 0
BL27850_evm0 1 0
BL27916_evm0 0 4
BL28013_evm0 2 0
BL28305_evm1 4 0
BL28612_evm0 11 0
BL28800_evm0 2 0
BL29164_evm0 1 0
BL29197_evm0 1 0
BL29436_evm0 1 0
BL29466_evm0 1 0
BL29596_evm0 1 0
BL29697_evm0 1 0
BL29981_evm0 2 0
BL30035_evm0 1 0
BL30061_evm0 9 0
BL30191_evm0 1 1
BL30195_evm0 22 0
BL30209_evm0 3 0
BL30580_evm0 1 0
BL30702_evm0 0 2
BL30874_evm0 2 0
BL31045_evm0 1 0
BL31122_evm0 1 0
BL31138_evm0 2 0
BL31151_evm0 3 0
BL31165_evm0 1 0
BL31246_evm0 1 0
BL31249_evm0 1 0
BL31276_evm0 0 1
BL31287_evm0 4 0
BL31311_evm0 2 0
BL31319_evm0 1 0
BL31513_evm0 1 0
BL31809_evm0 0 1
BL31848_evm0 0 1
BL31942_evm0 1 0
BL32023_evm0 1 0
BL32037_evm0 1 0
BL32093_evm0 1 0
BL32183_evm0 1 0
BL32260_evm0 1 0
BL32285_evm0 2 0
BL32295_evm0 1 0
BL32334_evm0 2 0
BL32341_evm0 1 0
BL33355_cuf0 1 0
BL33377_cuf0 2 0
BL33379_cuf0 1 0
BL34160_cuf0 1 0
BL34705_cuf1 1 0
BL35592_cuf0 1 0
BL36521_cuf0 1 0
BL38921_cuf0 1 0
BL39209_cuf0 1 0
BL40886_cuf0 1 0
BL41410_cuf1 1 0
BL41805_cuf0 1 0
BL42092_cuf0 1 0
BL42380_cuf2 0 1
BL43180_cuf0 1 0
BL43795_cuf0 1 0
BL44153_cuf3 1 0
BL44818_cuf0 1 0
BL45353_cuf0 1 0
BL45474_cuf0 1 0
BL45780_cuf0 2 0
BL47394_cuf0 1 0
BL48449_cuf1 1 0
BL49772_cuf1 1 0
BL50149_cuf0 2 0
BL50268_cuf0 1 0
BL50827_cuf4 1 0
BL51965_cuf1 1 0
BL52428_cuf0 1 0
BL52889_cuf0 7 0
BL53035_cuf0 1 0
BL53202_cuf0 0 1
BL53309_cuf1 3 0
BL54329_cuf0 1 0
BL56158_cuf0 1 0
BL56331_cuf0 3 0
BL56414_cuf0 1 0
BL56599_cuf0 1 0
BL57485_cuf0 1 0
BL57734_cuf0 8 0
BL58431_cuf0 1 0
BL59323_cuf0 2 0
BL59804_cuf0 1 0
BL60094_cuf0 1 0
BL61326_cuf0 1 0
BL62417_cuf0 1 0
BL64061_cuf0 2 0
BL64444_cuf0 0 1
BL64522_cuf0 2 0
BL64523_cuf0 1 0
BL65563_cuf1 1 0
BL67726_cuf0 1 0
BL67948_cuf0 1 0
BL67984_cuf0 0 5
BL68363_cuf0 1 0
BL68681_cuf0 1 0
BL69402_cuf4 1 0
BL70711_cuf2 2 1
BL70891_cuf0 1 0
BL71447_cuf0 1 0
BL71479_cuf0 1 0
BL72361_cuf0 1 0
BL72557_cuf0 1 0
BL73585_cuf0 1 0
BL74447_cuf1 2 0
BL75791_cuf0 1 0
BL76820_cuf0 1 0
BL78783_cuf0 1 0
BL78986_cuf0 1 0
BL79502_cuf3 1 0
BL80272_cuf0 0 1
BL80435_cuf1 3 0
BL80843_cuf0 0 4
BL81492_cuf1 2 0
BL81542_cuf0 3 0
BL81784_cuf0 1 0
BL82046_cuf0 1 0
BL82409_cuf0 1 0
BL82618_cuf3 1 0
BL83748_cuf1 16 0
BL84149_cuf2 2 0
BL84509_cuf1 1 0
BL84701_cuf2 3 0
BL84836_cuf0 0 8
BL85654_cuf0 6 0
BL86630_cuf1 1 0
BL87422_cuf0 1 0
BL87504_cuf1 4 0
BL87539_cuf0 1 0
BL87799_cuf1 1 0
BL87960_cuf0 1 0
BL88096_cuf0 1 0
BL88270_cuf0 0 3
BL88312_cuf0 1 0
BL89100_cuf1 1 0
BL89187_cuf0 1 0
BL89488_cuf0 1 0
BL90707_cuf1 1 0
BL90788_cuf1 3 0
BL90962_cuf0 29 0
BL95024_evm0 1 0
BL95097_evm2 4 0
BL95098_evm0 16 0
BL95128_evm1 1 0
BL95134_evm0 1 0
BL95152_evm1 1 0
BL95169_evm1 1 0
BL95244_evm3 1 0
BL95253_evm0 1 0
BL95256_evm0 1 0
BL95258_evm0 1 0
BL95274_evm0 1 0
BL95280_evm2 0 1
BL95290_evm3 1 0
BL95353_evm1 1 0
BL95406_evm1 2 0
BL95410_evm1 1 0
BL95458_evm4 1 0
BL95467_evm0 1 0
BL95468_evm1 1 0
BL95483_evm0 1 0
BL95486_evm1 1 0
BL95514_evm1 1 0
BL95701_evm1 1 0
BL95754_evm2 2 0
BL95794_evm0 1 0
BL95795_evm1 2 0
BL95826_evm1 1 0
BL95905_evm1 1 0
BL95919_evm1 1 0
BL95955_evm1 1 0
BL95973_evm0 1 0
BL95990_evm0 1 0
BL96001_evm1 1 0
BL96046_evm0 1 0
BL96092_evm1 1 0
BL96094_evm0 1 0
BL96198_cuf7 1 0
BL96279_cuf0 1 0
BL96300_cuf0 1 0
BL96326_cuf2 1 0
BL96356_cuf6 1 0
BL96364_cuf11 1 0
BL96372_cuf0 1 0
BL96377_cuf41 1 0
BL96381_cuf45 1 0
BL96495_cuf0 1 0
BL96588_cuf18 1 0
BL96596_cuf14 1 0
BL96605_cuf29 1 0
BL96609_cuf36 1 0
BL96623_cuf2 1 0
BL96655_cuf7 1 0
BL96664_cuf1 1 0
BL96676_cuf0 1 0
BL96715_cuf0 1 0
BL96716_cuf11 1 0
BL96806_cuf11 2 0
BL96860_cuf1 1 0
BL96861_cuf2 1 0
BL96948_cuf1 1 0
BL96949_cuf3 1 0
BL97022_cuf1 1 0
BL97085_cuf9 1 0
BL97089_cuf1 1 0
BL97090_cuf29 4 0
BL97189_cuf1 1 0
BL97193_cuf0 1 0
BL97204_cuf0 2 0
BL97205_cuf19 1 0
BL97280_cuf2 3 0
BL97370_cuf26 3 0
BL97417_cuf0 1 0
BL97463_cuf2 1 0
BL97466_cuf1 1 0
