Transcript Sense_junction_reads Antisense_junction_reads
BL08655_cuf0 1 0
BL08684_cuf0 12 0
BL08687_evm0 2 0
BL08720_cuf0 1 0
BL08736_cuf0 1 0
BL08761_cuf8 2 0
BL08774_cuf0 1 0
BL08815_cuf2 1 0
BL08824_evm1 1 0
BL08826_cuf9 1 0
BL08871_cuf4 4 0
BL08877_evm0 2 0
BL08893_evm0 2 0
BL08950_cuf0 4 0
BL08955_cuf1 1 0
BL08964_evm0 1 0
BL08990_cuf0 1 0
BL08995_cuf3 7 0
BL08998_cuf0 3 0
BL09013_evm1 2 0
BL09025_cuf1 1 0
BL09077_cuf0 1 0
BL09079_cuf1 1 0
BL09081_cuf1 1 0
BL09082_evm1 3 0
BL09088_cuf4 2 0
BL09108_cuf2 1 0
BL09128_evm0 2 0
BL09141_cuf4 1 0
BL09144_evm7 1 0
BL09189_evm1 2 0
BL09198_evm0 1 0
BL09247_evm0 2 0
BL09271_cuf0 1 0
BL09286_evm4 1 0
BL09311_cuf3 1 0
BL09336_cuf6 1 0
BL09341_cuf0 2 0
BL09343_evm0 2 0
BL09386_evm0 1 0
BL09420_evm0 2 0
BL09427_cuf2 1 0
BL09470_cuf7 3 0
BL09482_cuf8 1 0
BL09538_cuf6 2 0
BL09550_cuf0 1 0
BL09580_evm0 1 0
BL09594_cuf12 2 0
BL09619_cuf0 1 0
BL09644_cuf1 1 0
BL09697_cuf7 1 0
BL09705_cuf2 12 0
BL09757_cuf2 1 0
BL09781_cuf12 2 0
BL09787_cuf11 1 0
BL09798_cuf2 19 0
BL09806_cuf0 1 0
BL09810_cuf0 1 0
BL09813_evm0 11 0
BL09815_cuf0 1 0
BL09880_cuf0 11 0
BL09881_cuf0 1 0
BL09920_cuf1 1 0
BL09925_cuf8 1 0
BL09998_cuf1 1 0
BL10060_cuf3 1 0
BL10072_evm0 3 0
BL10073_cuf0 1 0
BL10075_cuf0 1 0
BL10086_cuf8 1 0
BL10091_cuf29 1 0
BL10101_cuf1 1 0
BL10120_cuf0 3 0
BL10128_cuf0 1 0
BL10162_evm0 23 0
BL10205_cuf2 1 0
BL10231_cuf0 1 0
BL10237_cuf3 1 0
BL10251_evm0 6 0
BL10273_cuf1 11 0
BL10296_evm0 3 0
BL10321_cuf6 1 0
BL10348_cuf4 1 0
BL10354_cuf1 1 0
BL10368_cuf4 1 0
BL10390_cuf0 1 0
BL10412_cuf22 1 0
BL10417_evm0 1 0
BL10422_cuf2 1 0
BL10432_cuf1 2 0
BL10436_cuf0 1 0
BL10442_cuf4 1 0
BL10461_cuf0 3 0
BL10499_cuf2 1 0
BL10549_cuf0 1 0
BL10554_cuf4 1 0
BL10563_cuf3 1 0
BL10577_cuf17 6 0
BL10605_cuf0 1 0
BL10617_cuf0 2 0
BL10625_evm0 15 0
BL10648_cuf1 1 0
BL10686_evm0 1 0
BL10687_cuf0 1 0
BL10691_cuf1 3 0
BL10728_evm0 1 0
BL10738_cuf0 1 0
BL10791_cuf1 2 0
BL10810_cuf19 1 0
BL10824_cuf1 2 0
BL10847_cuf0 1 0
BL10870_cuf0 1 0
BL10893_evm2 1 0
BL10903_evm0 1 0
BL10960_cuf0 1 0
BL10970_cuf0 4 0
BL10975_evm0 1 0
BL10976_cuf3 1 0
BL10993_cuf9 3 0
BL11021_cuf14 1 0
BL11048_cuf4 3 0
BL11066_cuf1 1 0
BL11086_cuf6 14 0
BL11106_cuf0 1 0
BL11134_evm4 1 0
BL11147_cuf0 1 0
BL11167_evm2 1 0
BL11168_cuf1 1 0
BL11182_evm0 1 0
BL11198_cuf0 1 0
BL11209_cuf0 38 0
BL11210_cuf4 1 0
BL11218_cuf4 1 0
BL11226_evm2 1 0
BL11253_cuf4 6 0
BL11254_cuf3 1 0
BL11264_evm19 7 0
BL11296_evm0 1 0
BL11320_cuf10 3 0
BL11322_cuf0 1 0
BL11327_cuf5 1 0
BL11328_cuf0 1 0
BL11333_cuf0 1 0
BL11337_cuf0 4 0
BL11340_cuf2 1 0
BL11347_evm2 2 0
BL11352_evm0 2 0
BL11371_cuf0 0 2
BL11374_cuf1 1 0
BL11398_cuf1 1 0
BL11411_evm4 1 0
BL11419_cuf1 41 0
BL11425_cuf0 1 0
BL11443_cuf12 1 0
BL11455_cuf4 1 0
BL11457_evm4 1 0
BL11489_evm3 2 0
BL11510_cuf2 2 0
BL11533_cuf2 1 0
BL11546_evm7 1 0
BL11557_evm1 1 0
BL11578_evm1 12 0
BL11585_evm5 1 0
BL11591_cuf8 1 0
BL11597_cuf0 1 0
BL11620_evm0 1 0
BL11627_evm0 0 1
BL11631_cuf0 1 0
BL11653_cuf2 3 0
BL11654_evm5 3 0
BL11665_cuf0 1 0
BL11696_evm0 3 0
BL11698_cuf0 2 0
BL11712_cuf7 1 0
BL11714_cuf0 1 0
BL11722_cuf3 1 0
BL11724_cuf1 2 0
BL11739_evm0 1 0
BL11764_evm5 1 0
BL11765_cuf1 2 0
BL11792_cuf0 1 0
BL11832_cuf0 1 0
BL11847_cuf2 1 0
BL11851_cuf5 0 2
BL11861_evm1 1 0
BL11866_cuf0 1 0
BL11877_evm0 9 0
BL11895_cuf3 1 0
BL11911_cuf1 2 0
BL11924_evm0 1 0
BL11925_cuf5 5 0
BL11928_evm7 1 0
BL11929_cuf0 1 0
BL11930_evm0 18 0
BL11931_cuf0 1 0
BL12014_cuf9 1 0
BL12015_cuf3 1 0
BL12021_cuf0 1 0
BL12042_cuf5 3 0
BL12066_cuf22 1 0
BL12074_cuf0 1 0
BL12078_cuf0 2 0
BL12088_evm3 1 0
BL12105_cuf0 79 0
BL12130_cuf0 3 0
BL12147_cuf0 1 0
BL12149_evm1 1 0
BL12192_cuf3 1 0
BL12204_cuf0 1 0
BL12249_cuf5 0 1
BL12254_cuf5 2 0
BL12324_evm0 3 0
BL12328_cuf7 1 0
BL12347_cuf3 3 0
BL12368_evm0 2 0
BL12385_evm0 1 0
BL12416_cuf0 1 0
BL12419_evm5 1 0
BL12460_cuf0 2 0
BL12475_evm0 2 0
BL12481_cuf0 135 0
BL12486_cuf0 1 0
BL12495_cuf28 1 0
BL12500_evm3 1 0
BL12513_cuf0 1 0
BL12521_cuf1 1 0
BL12531_cuf6 4 0
BL12565_cuf0 1 0
BL12585_cuf5 1 0
BL12610_cuf0 1 0
BL12633_cuf3 1 0
BL12644_cuf18 1 0
BL12670_cuf2 1 0
BL12671_cuf2 1 0
BL12683_cuf1 1 0
BL12697_cuf2 2 0
BL12699_cuf0 2 0
BL12709_cuf3 3 0
BL12722_cuf0 9 0
BL12734_cuf0 1 0
BL12761_cuf0 5 0
BL12766_cuf1 1 0
BL12767_cuf4 1 0
BL12783_cuf5 7 0
BL12802_evm5 1 0
BL12817_cuf0 11 0
BL12819_cuf8 1 0
BL12825_evm0 2 0
BL12826_cuf0 1 0
BL12844_cuf2 1 0
BL12845_evm0 1 0
BL12852_evm0 2 0
BL12862_cuf0 1 0
BL12863_cuf0 1 0
BL12865_cuf0 1 0
BL12882_evm1 1 0
BL12898_evm5 1 0
BL12928_cuf38 1 0
BL12936_cuf0 1 0
BL12939_cuf0 1 0
BL12945_evm0 1 0
BL13011_cuf1 1 0
BL13016_cuf2 1 0
BL13023_cuf0 1 0
BL13026_cuf0 1 0
BL13063_cuf11 3 0
BL13074_evm0 1 0
BL13105_cuf0 1 0
