Transcript Exonic_reads_sense Junction_reads_sense Exonic_reads_antisense Junction_reads_antisense
BL95879_evm0 0 0 0 0
BL97224_cuf10 0 0 0 0
BL18214_cuf6 0 0 0 0
BL03545_cuf1 15 1 0 0
BL19885_cuf4 0 0 0 0
BL05397_evm8 5 0 0 0
BL04248_evm0 0 0 0 0
BL04576_cuf0 0 0 0 0
BL16159_cuf0 0 1 0 0
BL21126_evm0 0 0 0 0
BL96179_cuf0 0 0 0 0
BL21531_evm0 0 2 0 0
BL15271_cuf1 0 0 0 0
BL39017_cuf0 0 0 0 0
BL05812_cuf3 0 7 0 0
BL08375_cuf0 0 0 0 0
BL25334_evm1 1 0 0 0
BL02074_cuf0 0 0 0 0
BL00572_evm2 0 0 0 0
